wl,n
0.573,0.22681
0.574,0.22443
0.575,0.22211
0.576,0.21985
0.577,0.21765
0.578,0.21550
0.579,0.21341
0.580,0.21136
0.581,0.20937
0.582,0.20742
0.583,0.20552
0.584,0.20367
0.585,0.20186
0.586,0.20009
0.587,0.19836
0.588,0.19667
0.589,0.19502
0.590,0.19341
0.591,0.19184
0.592,0.19030
0.593,0.18880
0.594,0.18733
0.595,0.18589
0.596,0.18448
0.597,0.18311
0.598,0.18176
0.599,0.18045
0.600,0.17916
0.601,0.17790
0.602,0.17667
0.603,0.17546
0.604,0.17428
0.605,0.17312
0.606,0.17199
0.607,0.17088
0.608,0.16980
0.609,0.16873
0.610,0.16769
0.611,0.16667
0.612,0.16567
0.613,0.16469
0.614,0.16374
0.615,0.16280
0.616,0.16188
0.617,0.16097
0.618,0.16009
0.619,0.15922
0.620,0.15837
0.621,0.15754
0.622,0.15672
0.623,0.15592
0.624,0.15514
0.625,0.15437
0.626,0.15362
0.627,0.15288
0.628,0.15215
0.629,0.15144
0.630,0.15074
0.631,0.15006
0.632,0.14938
0.633,0.14873
0.634,0.14808
0.635,0.14745
0.636,0.14682
0.637,0.14621
0.638,0.14562
0.639,0.14503
0.640,0.14445
0.641,0.14389
0.642,0.14333
0.643,0.14279
0.644,0.14225
0.645,0.14173
0.646,0.14122
0.647,0.14071
0.648,0.14022
0.649,0.13973
0.650,0.13925
0.651,0.13879
0.652,0.13833
0.653,0.13788
0.654,0.13743
0.655,0.13700
0.656,0.13657
0.657,0.13616
0.658,0.13575
0.659,0.13534
0.660,0.13495
0.661,0.13456
0.662,0.13418
0.663,0.13381
0.664,0.13344
0.665,0.13308
0.666,0.13273
0.667,0.13239
0.668,0.13205
0.669,0.13172
0.670,0.13139
0.671,0.13107
0.672,0.13076
0.673,0.13045
0.674,0.13015
0.675,0.12985
0.676,0.12956
0.677,0.12927
0.678,0.12900
0.679,0.12872
0.680,0.12845
0.681,0.12819
0.682,0.12793
0.683,0.12768
0.684,0.12743
0.685,0.12719
0.686,0.12695
0.687,0.12672
0.688,0.12649
0.689,0.12627
0.690,0.12605
0.691,0.12583
0.692,0.12562
0.693,0.12542
0.694,0.12522
0.695,0.12502
0.696,0.12483
0.697,0.12464
0.698,0.12445
0.699,0.12427
0.700,0.12409
0.701,0.12392
0.702,0.12375
0.703,0.12359
0.704,0.12343
0.705,0.12327
0.706,0.12311
0.707,0.12296
0.708,0.12282
0.709,0.12267
0.710,0.12253
0.711,0.12240
0.712,0.12227
0.713,0.12214
0.714,0.12201
0.715,0.12189
0.716,0.12177
0.717,0.12165
0.718,0.12153
0.719,0.12142
0.720,0.12132
0.721,0.12121
0.722,0.12111
0.723,0.12101
0.724,0.12091
0.725,0.12082
0.726,0.12073
0.727,0.12064
0.728,0.12056
0.729,0.12048
0.730,0.12040
0.731,0.12032
0.732,0.12025
0.733,0.12017
0.734,0.12011
0.735,0.12004
0.736,0.11998
0.737,0.11991
0.738,0.11985
0.739,0.11980
0.740,0.11974
0.741,0.11969
0.742,0.11964
0.743,0.11959
0.744,0.11955
0.745,0.11951
0.746,0.11947
0.747,0.11943
0.748,0.11939
0.749,0.11936
0.750,0.11932
0.751,0.11929
0.752,0.11927
0.753,0.11924
0.754,0.11922
0.755,0.11920
0.756,0.11918
0.757,0.11916
0.758,0.11914
0.759,0.11913
0.760,0.11912
0.761,0.11911
0.762,0.11910
0.763,0.11909
0.764,0.11909
0.765,0.11908
0.766,0.11908
0.767,0.11908
0.768,0.11909
0.769,0.11909
0.770,0.11910
0.771,0.11910
0.772,0.11911
0.773,0.11912
0.774,0.11914
0.775,0.11915
0.776,0.11917
0.777,0.11919
0.778,0.11921
0.779,0.11923
0.780,0.11925
0.781,0.11927
0.782,0.11930
0.783,0.11932
0.784,0.11935
0.785,0.11938
0.786,0.11941
0.787,0.11945
0.788,0.11948
0.789,0.11952
0.790,0.11956
0.791,0.11959
0.792,0.11963
0.793,0.11968
0.794,0.11972
0.795,0.11976
0.796,0.11981
0.797,0.11986
0.798,0.11990
0.799,0.11995
0.800,0.12000
0.801,0.12006
0.802,0.12011
0.803,0.12017
0.804,0.12022
0.805,0.12028
0.806,0.12034
0.807,0.12040
0.808,0.12046
0.809,0.12052
0.810,0.12058
0.811,0.12065
0.812,0.12071
0.813,0.12078
0.814,0.12085
0.815,0.12092
0.816,0.12099
0.817,0.12106
0.818,0.12113
0.819,0.12121
0.820,0.12128
0.821,0.12136
0.822,0.12144
0.823,0.12151
0.824,0.12159
0.825,0.12167
0.826,0.12176
0.827,0.12184
0.828,0.12192
0.829,0.12201
0.830,0.12209
0.831,0.12218
0.832,0.12227
0.833,0.12236
0.834,0.12245
0.835,0.12254
0.836,0.12263
0.837,0.12272
0.838,0.12282
0.839,0.12291
0.840,0.12301
0.841,0.12310
0.842,0.12320
0.843,0.12330
0.844,0.12340
0.845,0.12350
0.846,0.12360
0.847,0.12370
0.848,0.12381
0.849,0.12391
0.850,0.12402
0.851,0.12412
0.852,0.12423
0.853,0.12434
0.854,0.12444
0.855,0.12455
0.856,0.12466
0.857,0.12478
0.858,0.12489
0.859,0.12500
0.860,0.12511
0.861,0.12523
0.862,0.12534
0.863,0.12546
0.864,0.12558
0.865,0.12570
0.866,0.12581
0.867,0.12593
0.868,0.12605
0.869,0.12618
0.870,0.12630
0.871,0.12642
0.872,0.12654
0.873,0.12667
0.874,0.12679
0.875,0.12692
0.876,0.12705
0.877,0.12717
0.878,0.12730
0.879,0.12743
0.880,0.12756
0.881,0.12769
0.882,0.12782
0.883,0.12795
0.884,0.12809
0.885,0.12822
0.886,0.12835
0.887,0.12849
0.888,0.12862
0.889,0.12876
0.890,0.12890
0.891,0.12904
0.892,0.12917
0.893,0.12931
0.894,0.12945
0.895,0.12959
0.896,0.12973
0.897,0.12988
0.898,0.13002
0.899,0.13016
0.900,0.13031
0.901,0.13045

wl,k
0.299,1.92313
0.300,1.92436
0.301,1.92549
0.302,1.92649
0.303,1.92738
0.304,1.92814
0.305,1.92878
0.306,1.92930
0.307,1.92970
0.308,1.92997
0.309,1.93011
0.310,1.93012
0.311,1.93001
0.312,1.92976
0.313,1.92939
0.314,1.92888
0.315,1.92825
0.316,1.92748
0.317,1.92658
0.318,1.92556
0.319,1.92440
0.320,1.92312
0.321,1.92171
0.322,1.92018
0.323,1.91853
0.324,1.91676
0.325,1.91488
0.326,1.91288
0.327,1.91078
0.328,1.90859
0.329,1.90630
0.330,1.90392
0.331,1.90147
0.332,1.89894
0.333,1.89636
0.334,1.89372
0.335,1.89104
0.336,1.88833
0.337,1.88561
0.338,1.88288
0.339,1.88016
0.340,1.87745
0.341,1.87478
0.342,1.87216
0.343,1.86960
0.344,1.86711
0.345,1.86471
0.346,1.86241
0.347,1.86023
0.348,1.85816
0.349,1.85624
0.350,1.85445
0.351,1.85282
0.352,1.85136
0.353,1.85006
0.354,1.84893
0.355,1.84799
0.356,1.84722
0.357,1.84664
0.358,1.84624
0.359,1.84603
0.360,1.84600
0.361,1.84615
0.362,1.84647
0.363,1.84697
0.364,1.84763
0.365,1.84845
0.366,1.84943
0.367,1.85056
0.368,1.85183
0.369,1.85324
0.370,1.85477
0.371,1.85642
0.372,1.85818
0.373,1.86005
0.374,1.86200
0.375,1.86405
0.376,1.86617
0.377,1.86837
0.378,1.87063
0.379,1.87294
0.380,1.87531
0.381,1.87771
0.382,1.88015
0.383,1.88261
0.384,1.88510
0.385,1.88760
0.386,1.89011
0.387,1.89262
0.388,1.89513
0.389,1.89762
0.390,1.90010
0.391,1.90257
0.392,1.90500
0.393,1.90741
0.394,1.90978
0.395,1.91211
0.396,1.91439
0.397,1.91663
0.398,1.91881
0.399,1.92093
0.400,1.92299
0.401,1.92499
0.402,1.92691
0.403,1.92876
0.404,1.93054
0.405,1.93223
0.406,1.93384
0.407,1.93535
0.408,1.93678
0.409,1.93811
0.410,1.93934
0.411,1.94046
0.412,1.94148
0.413,1.94239
0.414,1.94318
0.415,1.94386
0.416,1.94442
0.417,1.94485
0.418,1.94515
0.419,1.94532
0.420,1.94536
0.421,1.94526
0.422,1.94502
0.423,1.94463
0.424,1.94410
0.425,1.94341
0.426,1.94257
0.427,1.94157
0.428,1.94041
0.429,1.93908
0.430,1.93758
0.431,1.93592
0.432,1.93408
0.433,1.93206
0.434,1.92987
0.435,1.92750
0.436,1.92494
0.437,1.92220
0.438,1.91927
0.439,1.91615
0.440,1.91285
0.441,1.90936
0.442,1.90568
0.443,1.90182
0.444,1.89777
0.445,1.89354
0.446,1.88913
0.447,1.88455
0.448,1.87980
0.449,1.87488
0.450,1.86981
0.451,1.86459
0.452,1.85923
0.453,1.85375
0.454,1.84815
0.455,1.84245
0.456,1.83666
0.457,1.83080
0.458,1.82489
0.459,1.81894
0.460,1.81297
0.461,1.80701
0.462,1.80107
0.463,1.79518
0.464,1.78936
0.465,1.78364
0.466,1.77803
0.467,1.77257
0.468,1.76727
0.469,1.76216
0.470,1.75727
0.471,1.75262
0.472,1.74823
0.473,1.74412
0.474,1.74032
0.475,1.73686
0.476,1.73374
0.477,1.73099
0.478,1.72863
0.479,1.72669
0.480,1.72516
0.481,1.72408
0.482,1.72345
0.483,1.72330
0.484,1.72363
0.485,1.72445
0.486,1.72579
0.487,1.72763
0.488,1.73000
0.489,1.73290
0.490,1.73634
0.491,1.74031
0.492,1.74482
0.493,1.74988
0.494,1.75547
0.495,1.76160
0.496,1.76826
0.497,1.77545
0.498,1.78315
0.499,1.79136
0.500,1.80008
0.501,1.80927
0.502,1.81894
0.503,1.82907
0.504,1.83963
0.505,1.85062
0.506,1.86202
0.507,1.87380
0.508,1.88595
0.509,1.89845
0.510,1.91128
0.511,1.92441
0.512,1.93784
0.513,1.95152
0.514,1.96546
0.515,1.97962
0.516,1.99399
0.517,2.00854
0.518,2.02327
0.519,2.03815
0.520,2.05316
0.521,2.06829
0.522,2.08353
0.523,2.09885
0.524,2.11424
0.525,2.12970
0.526,2.14520
0.527,2.16074
0.528,2.17631
0.529,2.19189
0.530,2.20747
0.531,2.22306
0.532,2.23863
0.533,2.25418
0.534,2.26971
0.535,2.28521
0.536,2.30067
0.537,2.31609
0.538,2.33146
0.539,2.34679
0.540,2.36206
0.541,2.37727
0.542,2.39242
0.543,2.40751
0.544,2.42253
0.545,2.43749
0.546,2.45238
0.547,2.46720
0.548,2.48195
0.549,2.49663
0.550,2.51123
0.551,2.52576
0.552,2.54022
0.553,2.55461
0.554,2.56892
0.555,2.58316
0.556,2.59732
0.557,2.61141
0.558,2.62543
0.559,2.63938
0.560,2.65325
0.561,2.66705
0.562,2.68078
0.563,2.69444
0.564,2.70803
0.565,2.72155
0.566,2.73500
0.567,2.74838
0.568,2.76170
0.569,2.77495
0.570,2.78814
0.571,2.80126
0.572,2.81431
0.573,2.82731
0.574,2.84024
0.575,2.85311
0.576,2.86591
0.577,2.87866
0.578,2.89135
0.579,2.90399
0.580,2.91656
0.581,2.92908
0.582,2.94154
0.583,2.95395
0.584,2.96630
0.585,2.97860
0.586,2.99085
0.587,3.00305
0.588,3.01519
0.589,3.02729
0.590,3.03933
0.591,3.05133
0.592,3.06328
0.593,3.07518
0.594,3.08704
0.595,3.09885
0.596,3.11061
0.597,3.12233
0.598,3.13401
0.599,3.14564
0.600,3.15723
0.601,3.16878
0.602,3.18029
0.603,3.19176
0.604,3.20318
0.605,3.21457
0.606,3.22592
0.607,3.23723
0.608,3.24850
0.609,3.25974
0.610,3.27093
0.611,3.28210
0.612,3.29322
0.613,3.30431
0.614,3.31537
0.615,3.32639
0.616,3.33738
0.617,3.34834
0.618,3.35926
0.619,3.37015
0.620,3.38101
0.621,3.39184
0.622,3.40264
0.623,3.41341
0.624,3.42414
0.625,3.43485
0.626,3.44553
0.627,3.45618
0.628,3.46680
0.629,3.47739
0.630,3.48796
0.631,3.49849
0.632,3.50900
0.633,3.51949
0.634,3.52994
0.635,3.54038
0.636,3.55078
0.637,3.56116
0.638,3.57152
0.639,3.58185
0.640,3.59216
0.641,3.60244
0.642,3.61270
0.643,3.62294
0.644,3.63315
0.645,3.64334
0.646,3.65351
0.647,3.66366
0.648,3.67378
0.649,3.68388
0.650,3.69396
0.651,3.70402
0.652,3.71406
0.653,3.72408
0.654,3.73408
0.655,3.74406
0.656,3.75401
0.657,3.76395
0.658,3.77387
0.659,3.78377
0.660,3.79365
0.661,3.80351
0.662,3.81336
0.663,3.82318
0.664,3.83299
0.665,3.84278
0.666,3.85255
0.667,3.86230
0.668,3.87204
0.669,3.88176
0.670,3.89146
0.671,3.90115
0.672,3.91082
0.673,3.92047
0.674,3.93011
0.675,3.93973
0.676,3.94933
0.677,3.95892
0.678,3.96850
0.679,3.97805
0.680,3.98760
0.681,3.99713
0.682,4.00664
0.683,4.01614
0.684,4.02562
0.685,4.03509
0.686,4.04455
0.687,4.05399
0.688,4.06342
0.689,4.07283
0.690,4.08224
0.691,4.09162
0.692,4.10100
0.693,4.11036
0.694,4.11970
0.695,4.12904
0.696,4.13836
0.697,4.14767
0.698,4.15697
0.699,4.16625
0.700,4.17552
0.701,4.18478
0.702,4.19403
0.703,4.20326
0.704,4.21249
0.705,4.22170
0.706,4.23090
0.707,4.24009
0.708,4.24927
0.709,4.25843
0.710,4.26759
0.711,4.27673
0.712,4.28587
0.713,4.29499
0.714,4.30410
0.715,4.31320
0.716,4.32229
0.717,4.33137
0.718,4.34044
0.719,4.34950
0.720,4.35855
0.721,4.36759
0.722,4.37662
0.723,4.38563
0.724,4.39464
0.725,4.40364
0.726,4.41263
0.727,4.42161
0.728,4.43058
0.729,4.43954
0.730,4.44850
0.731,4.45744
0.732,4.46637
0.733,4.47530
0.734,4.48421
0.735,4.49312
0.736,4.50202
0.737,4.51091
0.738,4.51979
0.739,4.52866
0.740,4.53752
0.741,4.54638
0.742,4.55522
0.743,4.56406
0.744,4.57289
0.745,4.58171
0.746,4.59053
0.747,4.59933
0.748,4.60813
0.749,4.61692
0.750,4.62570
0.751,4.63448
0.752,4.64324
0.753,4.65200
0.754,4.66075
0.755,4.66950
0.756,4.67823
0.757,4.68696
0.758,4.69568
0.759,4.70440
0.760,4.71310
0.761,4.72180
0.762,4.73050
0.763,4.73918
0.764,4.74786
0.765,4.75653
0.766,4.76520
0.767,4.77385
0.768,4.78250
0.769,4.79115
0.770,4.79979
0.771,4.80842
0.772,4.81704
0.773,4.82566
0.774,4.83427
0.775,4.84288
0.776,4.85147
0.777,4.86007
0.778,4.86865
0.779,4.87723
0.780,4.88580
0.781,4.89437
0.782,4.90293
0.783,4.91149
0.784,4.92004
0.785,4.92858
0.786,4.93712
0.787,4.94565
0.788,4.95417
0.789,4.96269
0.790,4.97121
0.791,4.97971
0.792,4.98822
0.793,4.99671
0.794,5.00520
0.795,5.01369
0.796,5.02217
0.797,5.03064
0.798,5.03911
0.799,5.04758
0.800,5.05603
0.801,5.06449
0.802,5.07293
0.803,5.08138
0.804,5.08981
0.805,5.09825
0.806,5.10667
0.807,5.11509
0.808,5.12351
0.809,5.13192
0.810,5.14033
0.811,5.14873
0.812,5.15713
0.813,5.16552
0.814,5.17390
0.815,5.18229
0.816,5.19066
0.817,5.19904
0.818,5.20740
0.819,5.21577
0.820,5.22412
0.821,5.23248
0.822,5.24083
0.823,5.24917
0.824,5.25751
0.825,5.26585
0.826,5.27418
0.827,5.28250
0.828,5.29082
0.829,5.29914
0.830,5.30745
0.831,5.31576
0.832,5.32407
0.833,5.33237
0.834,5.34066
0.835,5.34895
0.836,5.35724
0.837,5.36552
0.838,5.37380
0.839,5.38208
0.840,5.39035
0.841,5.39861
0.842,5.40688
0.843,5.41513
0.844,5.42339
0.845,5.43164
0.846,5.43988
0.847,5.44813
0.848,5.45636
0.849,5.46460
0.850,5.47283
0.851,5.48106
0.852,5.48928
0.853,5.49750
0.854,5.50571
0.855,5.51393
0.856,5.52213
0.857,5.53034
0.858,5.53854
0.859,5.54673
0.860,5.55493
0.861,5.56312
0.862,5.57130
0.863,5.57948
0.864,5.58766
0.865,5.59584
0.866,5.60401
0.867,5.61218
0.868,5.62034
0.869,5.62850
0.870,5.63666
0.871,5.64482
0.872,5.65297
0.873,5.66111
0.874,5.66926
0.875,5.67740
0.876,5.68554
0.877,5.69367
0.878,5.70180
0.879,5.70993
0.880,5.71805
0.881,5.72617
0.882,5.73429
0.883,5.74241
0.884,5.75052
0.885,5.75863
0.886,5.76673
0.887,5.77483
0.888,5.78293
0.889,5.79103
0.890,5.79912
0.891,5.80721
0.892,5.81530
0.893,5.82338
0.894,5.83146
0.895,5.83954
0.896,5.84761
0.897,5.85568
0.898,5.86375
0.899,5.87182
0.900,5.87988
0.901,5.88794
