wl,n
0.454,2.47920
0.455,2.48852
0.456,2.49781
0.457,2.50708
0.458,2.51633
0.459,2.52555
0.460,2.53476
0.461,2.54394
0.462,2.55311
0.463,2.56225
0.464,2.57138
0.465,2.58049
0.466,2.58957
0.467,2.59864
0.468,2.60769
0.469,2.61672
0.470,2.62574
0.471,2.63473
0.472,2.64371
0.473,2.65267
0.474,2.66162
0.475,2.67055
0.476,2.67946
0.477,2.68835
0.478,2.69723
0.479,2.70610
0.480,2.71494
0.481,2.72378
0.482,2.73259
0.483,2.74140
0.484,2.75019
0.485,2.75896
0.486,2.76772
0.487,2.77646
0.488,2.78519
0.489,2.79391
0.490,2.80261
0.491,2.81130
0.492,2.81998
0.493,2.82864
0.494,2.83729
0.495,2.84593
0.496,2.85455
0.497,2.86317
0.498,2.87177
0.499,2.88035
0.500,2.88893
0.501,2.89749
0.502,2.90605
0.503,2.91459
0.504,2.92312
0.505,2.93163
0.506,2.94014
0.507,2.94864
0.508,2.95712
0.509,2.96559
0.510,2.97406
0.511,2.98251
0.512,2.99095
0.513,2.99938
0.514,3.00780
0.515,3.01622
0.516,3.02462
0.517,3.03301
0.518,3.04139
0.519,3.04976
0.520,3.05812
0.521,3.06648
0.522,3.07482
0.523,3.08315
0.524,3.09148
0.525,3.09980
0.526,3.10810
0.527,3.11640
0.528,3.12469
0.529,3.13297
0.530,3.14124
0.531,3.14951
0.532,3.15776
0.533,3.16601
0.534,3.17425
0.535,3.18248
0.536,3.19070
0.537,3.19892
0.538,3.20712
0.539,3.21532
0.540,3.22351
0.541,3.23170
0.542,3.23987
0.543,3.24804
0.544,3.25620
0.545,3.26435
0.546,3.27250
0.547,3.28064
0.548,3.28877
0.549,3.29689
0.550,3.30501
0.551,3.31312
0.552,3.32123
0.553,3.32932
0.554,3.33741
0.555,3.34550
0.556,3.35357
0.557,3.36164
0.558,3.36971
0.559,3.37776
0.560,3.38582
0.561,3.39386
0.562,3.40190
0.563,3.40993
0.564,3.41796
0.565,3.42598
0.566,3.43399
0.567,3.44200
0.568,3.45000
0.569,3.45799
0.570,3.46598
0.571,3.47397
0.572,3.48195
0.573,3.48992
0.574,3.49789
0.575,3.50585
0.576,3.51380
0.577,3.52175
0.578,3.52970
0.579,3.53764
0.580,3.54557
0.581,3.55350
0.582,3.56143
0.583,3.56934
0.584,3.57726
0.585,3.58517
0.586,3.59307
0.587,3.60097
0.588,3.60886
0.589,3.61675
0.590,3.62463
0.591,3.63251
0.592,3.64038
0.593,3.64825
0.594,3.65611
0.595,3.66397
0.596,3.67183
0.597,3.67968
0.598,3.68752
0.599,3.69536
0.600,3.70320
0.601,3.71103
0.602,3.71886
0.603,3.72668
0.604,3.73450
0.605,3.74231
0.606,3.75012
0.607,3.75793
0.608,3.76573
0.609,3.77352
0.610,3.78132
0.611,3.78910
0.612,3.79689
0.613,3.80467
0.614,3.81244
0.615,3.82022
0.616,3.82798
0.617,3.83575
0.618,3.84351
0.619,3.85126
0.620,3.85902
0.621,3.86676
0.622,3.87451
0.623,3.88225
0.624,3.88999
0.625,3.89772
0.626,3.90545
0.627,3.91317
0.628,3.92090
0.629,3.92861
0.630,3.93633
0.631,3.94404
0.632,3.95175
0.633,3.95945
0.634,3.96715
0.635,3.97485
0.636,3.98254
0.637,3.99023
0.638,3.99792
0.639,4.00560
0.640,4.01328
0.641,4.02096
0.642,4.02863
0.643,4.03630
0.644,4.04397
0.645,4.05163
0.646,4.05929
0.647,4.06695
0.648,4.07460
0.649,4.08225
0.650,4.08990
0.651,4.09755
0.652,4.10519
0.653,4.11282
0.654,4.12046
0.655,4.12809
0.656,4.13572
0.657,4.14335
0.658,4.15097
0.659,4.15859
0.660,4.16621
0.661,4.17382
0.662,4.18143
0.663,4.18904
0.664,4.19665
0.665,4.20425
0.666,4.21185
0.667,4.21945
0.668,4.22704
0.669,4.23463
0.670,4.24222
0.671,4.24981
0.672,4.25739
0.673,4.26497
0.674,4.27255
0.675,4.28012
0.676,4.28770
0.677,4.29527
0.678,4.30283
0.679,4.31040
0.680,4.31796
0.681,4.32552
0.682,4.33308
0.683,4.34063
0.684,4.34818
0.685,4.35573
0.686,4.36328
0.687,4.37082
0.688,4.37836
0.689,4.38590
0.690,4.39344
0.691,4.40098
0.692,4.40851
0.693,4.41604
0.694,4.42357
0.695,4.43109
0.696,4.43861
0.697,4.44613
0.698,4.45365
0.699,4.46117
0.700,4.46868
0.701,4.47619
0.702,4.48370
0.703,4.49121
0.704,4.49871
0.705,4.50622
0.706,4.51372
0.707,4.52121
0.708,4.52871
0.709,4.53620
0.710,4.54369
0.711,4.55118
0.712,4.55867
0.713,4.56616
0.714,4.57364
0.715,4.58112
0.716,4.58860
0.717,4.59607
0.718,4.60355
0.719,4.61102
0.720,4.61849
0.721,4.62596
0.722,4.63343
0.723,4.64089
0.724,4.64835
0.725,4.65581
0.726,4.66327
0.727,4.67073
0.728,4.67818
0.729,4.68564
0.730,4.69309
0.731,4.70054
0.732,4.70798
0.733,4.71543
0.734,4.72287
0.735,4.73031
0.736,4.73775
0.737,4.74519
0.738,4.75263
0.739,4.76006
0.740,4.76749
0.741,4.77492
0.742,4.78235
0.743,4.78978
0.744,4.79720
0.745,4.80462
0.746,4.81205
0.747,4.81947
0.748,4.82688
0.749,4.83430
0.750,4.84171
0.751,4.84913
0.752,4.85654
0.753,4.86395
0.754,4.87135
0.755,4.87876
0.756,4.88616
0.757,4.89357
0.758,4.90097
0.759,4.90837
0.760,4.91576
0.761,4.92316
0.762,4.93055
0.763,4.93795
0.764,4.94534
0.765,4.95273
0.766,4.96012
0.767,4.96750
0.768,4.97489
0.769,4.98227
0.770,4.98965
0.771,4.99703
0.772,5.00441
0.773,5.01179
0.774,5.01916
0.775,5.02654
0.776,5.03391
0.777,5.04128
0.778,5.04865
0.779,5.05602
0.780,5.06338
0.781,5.07075
0.782,5.07811
0.783,5.08547
0.784,5.09284
0.785,5.10019
0.786,5.10755
0.787,5.11491
0.788,5.12226
0.789,5.12962
0.790,5.13697
0.791,5.14432
0.792,5.15167
0.793,5.15902
0.794,5.16636
0.795,5.17371
0.796,5.18105
0.797,5.18839
0.798,5.19574
0.799,5.20308
0.800,5.21041
0.801,5.21775
0.802,5.22509
0.803,5.23242
0.804,5.23975
0.805,5.24709
0.806,5.25442
0.807,5.26175
0.808,5.26907
0.809,5.27640
0.810,5.28373
0.811,5.29105
0.812,5.29837
0.813,5.30569
0.814,5.31301
0.815,5.32033
0.816,5.32765
0.817,5.33497
0.818,5.34228
0.819,5.34960
0.820,5.35691
0.821,5.36422
0.822,5.37153
0.823,5.37884
0.824,5.38615
0.825,5.39345
0.826,5.40076
0.827,5.40806
0.828,5.41537
0.829,5.42267
0.830,5.42997
0.831,5.43727
0.832,5.44457
0.833,5.45187
0.834,5.45916
0.835,5.46646
0.836,5.47375
0.837,5.48104
0.838,5.48834
0.839,5.49563
0.840,5.50292
0.841,5.51020
0.842,5.51749
0.843,5.52478
0.844,5.53206
0.845,5.53935
0.846,5.54663
0.847,5.55391
0.848,5.56119
0.849,5.56847
0.850,5.57575
0.851,5.58303
0.852,5.59031
0.853,5.59758
0.854,5.60486
0.855,5.61213
0.856,5.61940
0.857,5.62667
0.858,5.63394
0.859,5.64121
0.860,5.64848
0.861,5.65575
0.862,5.66301
0.863,5.67028
0.864,5.67754
0.865,5.68481
0.866,5.69207
0.867,5.69933
0.868,5.70659
0.869,5.71385
0.870,5.72111
0.871,5.72836
0.872,5.73562
0.873,5.74287
0.874,5.75013
0.875,5.75738
0.876,5.76463
0.877,5.77189
0.878,5.77914
0.879,5.78639
0.880,5.79363
0.881,5.80088
0.882,5.80813
0.883,5.81538
0.884,5.82262
0.885,5.82986
0.886,5.83711
0.887,5.84435
0.888,5.85159
0.889,5.85883
0.890,5.86607
0.891,5.87331
0.892,5.88055
0.893,5.88778
0.894,5.89502
0.895,5.90225
0.896,5.90949
0.897,5.91672
0.898,5.92395
0.899,5.93119
0.900,5.93842
0.901,5.94565
